id;extracted_data_id;zeile_inhalt;zeile_inhalt_orig;regex_pattern;quell_tabelle;quell_feld;Hit_Platz;Hit_StartNr;Hit_Zeit;zeile_inhalt_Typ;gefunden_am
76;243;Hanauer RG;3 Hanauer RG - Boot 3 - 02:29.32 16;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;16;02:29.32;Boot;2025-11-29 19:23:02.121174
77;247;Mühlheimer RV;1 Mühlheimer RV - Boot 3 - 02:09.35 21;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;21;02:09.35;Boot;2025-11-29 19:23:02.121202
78;249;Hanauer RG;2 Hanauer RG - Boot 4 - 02:12.02 18;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;18;02:12.02;Boot;2025-11-29 19:23:02.121215
79;251;Hanauer RG;3 Hanauer RG - Boot 5 - 02:18.80 20;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;20;02:18.80;Boot;2025-11-29 19:23:02.121242
80;263;Mühlheimer RV;1 Mühlheimer RV 01:40.89 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;1;01:40.89;Boot;2025-11-29 19:23:02.121257
81;265;Gießener RC Hassia;2 Gießener RC Hassia 01:47.15 4;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;4;01:47.15;Boot;2025-11-29 19:23:02.121269
82;267;Frauen-RV Freiweg Frankfurt;3 Frauen-RV Freiweg Frankfurt 01:48.39 2;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;2;01:48.39;Boot;2025-11-29 19:23:02.121280
83;274;Hanauer RC Hassia;1 Hanauer RC Hassia 02:10.09 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;1;02:10.09;Boot;2025-11-29 19:23:02.121291
84;276;Limburger ClfW;2 Limburger ClfW 02:15.18 2;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;2;02:15.18;Boot;2025-11-29 19:23:02.121301
85;278;RG Wetzlar;3 RG Wetzlar 02:35.92 4;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;4;02:35.92;Boot;2025-11-29 19:23:02.121311
86;289;Frankfurter RG Germania;1 Frankfurter RG Germania 01:58.91 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;1;01:58.91;Boot;2025-11-29 19:23:02.121323
87;291;Frankfurter RC;2 Frankfurter RC 02:04.01 2;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;2;02:04.01;Boot;2025-11-29 19:23:02.121333
88;297;Limburger ClfW;1 Limburger ClfW 02:13.85 4;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;4;02:13.85;Boot;2025-11-29 19:23:02.121344
89;299;Hanauer RG;2 Hanauer RG 02:16.04 8;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;8;02:16.04;Boot;2025-11-29 19:23:02.121354
90;301;Frankfurter Ruder- und Kanusport Verein;3 Frankfurter Ruder- und Kanusport Verein 02:17.96 9;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;9;02:17.96;Boot;2025-11-29 19:23:02.121366
91;315;Frankfurter RC;1 Frankfurter RC - Boot 1 - 01:48.99 3;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;3;01:48.99;Boot;2025-11-29 19:23:02.121379
92;317;Hanauer RC Hassia;2 Hanauer RC Hassia - Boot 1 - 01:52.99 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;1;01:52.99;Boot;2025-11-29 19:23:02.121390
93;319;RG Eberbach;3 RG Eberbach 01:55.50 2;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;2;01:55.50;Boot;2025-11-29 19:23:02.121399
94;323;Frankfurter RC;1 Frankfurter RC - Boot 2 - 01:50.17 12;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;12;01:50.17;Boot;2025-11-29 19:23:02.121410
95;325;Nassovia Höchst;2 Nassovia Höchst 01:50.40 5;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;5;01:50.40;Boot;2025-11-29 19:23:02.121420
96;329;Frankfurter RG Oberrad;1 Frankfurter RG Oberrad - Boot 2 - 01:52.68 8;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;8;01:52.68;Boot;2025-11-29 19:23:02.121432
97;331;SG Wiking;2 SG Wiking 01:59.17 9;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;9;01:59.17;Boot;2025-11-29 19:23:02.121441
98;333;RG Wetzlar;3 RG Wetzlar - Boot 1 - 02:02.40 7;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;3;7;02:02.40;Boot;2025-11-29 19:23:02.121451
99;337;Frankfurter RG Oberrad;1 Frankfurter RG Oberrad - Boot 1 - 01:53.65 10;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;10;01:53.65;Boot;2025-11-29 19:23:02.121463
100;339;RG Wetzlar;2 RG Wetzlar - Boot 2 - 01:58.27 11;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;2;11;01:58.27;Boot;2025-11-29 19:23:02.121473
101;347;Frankfurter RG Oberrad;1 Frankfurter RG Oberrad 01:44.80 1;^[1-4] .+0[1-3]:[0-5][0-9].[0-9][0-9] [1-9][0-9]?;GA_ER_2023_271125_529;Inhalt;1;1;01:44.80;Boot;2025-11-29 19:23:02.121484
