ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;zeile_inhalt_ohne_treffer;Verein_DRVID;Verein;gefunden_am
111;3 Rgm. RG Wetzlar/ 01:48.86 8;3 Rgm. RG Wetzlar/ WSV Hellas Gießen 01:48.86 8;378;3 Rgm. RG Wetzlar/ 01:48.86 8;11623;WSV Hellas Gießen;2025-11-29 07:36:29
112;1 01:56.97 2;1 SG Wiking 01:56.97 2;383;1 01:56.97 2;11643;SG Wiking;2025-11-29 07:36:29
113;2 02:00.25 1;2 Hanauer RC Hassia 02:00.25 1;385;2 02:00.25 1;11626;Hanauer RC Hassia;2025-11-29 07:36:29
114;1 02:06.40 4;1 RC Karlstadt 02:06.40 4;389;1 02:06.40 4;11107;RC Karlstadt;2025-11-29 07:36:29
115;2 02:13.30 3;2 Limburger ClfW 02:13.30 3;391;2 02:13.30 3;11635;Limburger ClfW;2025-11-29 07:36:29
116;1 01:47.61 1;1 Frankfurter RG Oberrad 01:47.61 1;396;1 01:47.61 1;11614;Frankfurter RG Oberrad;2025-11-29 07:36:29
117;2 am Main-Bürgel 01:52.26 2;2 WSV Offenbach am Main-Bürgel 01:52.26 2;398;2 am Main-Bürgel 01:52.26 2;11642;WSV Offenbach;2025-11-29 07:36:29
118;1 01:30.01 4;1 Nassovia Höchst 01:30.01 4;407;1 01:30.01 4;11612;Nassovia Höchst;2025-11-29 07:36:29
119;2 01:32.49 1;2 Limburger ClfW 01:32.49 1;409;2 01:32.49 1;11635;Limburger ClfW;2025-11-29 07:36:29
120;3 01:33.41 2;3 Frankfurter RG Germania 01:33.41 2;411;3 01:33.41 2;11610;Frankfurter RG Germania;2025-11-29 07:36:29
121;1 01:28.36 5;1 Hanauer RC Hassia 01:28.36 5;415;1 01:28.36 5;11626;Hanauer RC Hassia;2025-11-29 07:36:29
122;2 01:30.65 6;2 Wormser RC 01:30.65 6;417;2 01:30.65 6;12038;Wormser RC;2025-11-29 07:36:29
