ID;zeile_inhalt;zeile_inhalt_orig;extracted_data_id;gefunden_am
214;3 01:26.83 6;3 Frankfurter RG Germania 01:26.83 6;731;2025-11-29 10:16:55
215;1 - Boot 1 - 01:42.91 2;1 RC Aschaffenburg - Boot 1 - 01:42.91 2;743;2025-11-29 10:16:55
216;2 - Boot 1 - 01:45.64 4;2 Mühlheimer RV - Boot 1 - 01:45.64 4;745;2025-11-29 10:16:55
217;3 01:47.64 3;3 SG Wiking 01:47.64 3;747;2025-11-29 10:16:55
218;4 - Boot 1 - 01:52.29 1;4 Hanauer RG - Boot 1 - 01:52.29 1;749;2025-11-29 10:16:55
219;1 01:45.21 6;1 RV Hellas Offenbach 01:45.21 6;753;2025-11-29 10:16:55
220;2 01:48.25 8;2 RG Eberbach 01:48.25 8;755;2025-11-29 10:16:55
221;1 am Main-Bürgel - Boot 1 - 01:50.90 9;1 WSV Offenbach am Main-Bürgel - Boot 1 - 01:50.90 9;759;2025-11-29 10:16:55
222;2 - Boot 2 - 02:02.68 11;2 Mühlheimer RV - Boot 2 - 02:02.68 11;761;2025-11-29 10:16:55
223;1 01:48.53 15;1 Wormser RC 01:48.53 15;767;2025-11-29 10:16:55
224;2 am Main-Bürgel - Boot 2 - 01:49.19 13;2 WSV Offenbach am Main-Bürgel - Boot 2 - 01:49.19 13;769;2025-11-29 10:16:55
225;3 - Boot 3 - 02:02.30 14;3 Hanauer RG - Boot 3 - 02:02.30 14;771;2025-11-29 10:16:55
226;1 - Boot 4 - 01:49.53 16;1 RC Aschaffenburg - Boot 4 - 01:49.53 16;775;2025-11-29 10:16:55
227;2 - Boot 1 - 01:52.53 18;2 Frankfurter RC - Boot 1 - 01:52.53 18;777;2025-11-29 10:16:55
228;3 - Boot 2 - 01:57.71 17;3 Offenbacher RG Undine - Boot 2 - 01:57.71 17;779;2025-11-29 10:16:55
229;1 - Boot 2 - 01:59.82 20;1 Frankfurter RC - Boot 2 - 01:59.82 20;783;2025-11-29 10:16:55
230;2 02:18.18 19;2 Marburger RV 02:18.18 19;785;2025-11-29 10:16:55
231;1 - Boot 1 - 01:47.65 4;1 Limburger ClfW - Boot 1 - 01:47.65 4;798;2025-11-29 10:16:55
232;2 am Main-Bürgel 01:53.19 3;2 WSV Offenbach am Main-Bürgel 01:53.19 3;800;2025-11-29 10:16:55
233;3 - Boot 1 - 01:59.10 1;3 RC Möve Grossauheim - Boot 1 - 01:59.10 1;802;2025-11-29 10:16:55
234;1 01:49.66 6;1 Frankfurter RG Germania 01:49.66 6;806;2025-11-29 10:16:55
235;2 - Boot 2 - 01:50.52 5;2 RC Möve Grossauheim - Boot 2 - 01:50.52 5;808;2025-11-29 10:16:55
236;1 01:52.79 9;1 RC Aschaffenburg 01:52.79 9;812;2025-11-29 10:16:55
237;2 02:04.74 7;2 SG Wiking 02:04.74 7;814;2025-11-29 10:16:55
238;3 - Boot 3 - 02:04.96 10;3 RC Möve Grossauheim - Boot 3 - 02:04.96 10;816;2025-11-29 10:16:55
239;1 02:09.26 1;1 RC Karlstadt 02:09.26 1;824;2025-11-29 10:16:55
240;2 02:14.44 2;2 RC Karlstadt 02:14.44 2;826;2025-11-29 10:16:55
241;1 01:42.29 2;1 Marburger RV 01:42.29 2;831;2025-11-29 10:16:55
