"PrimaryKey";"Verein_DRVID";"Verein";"Lettern";"Kurzident";"Kurzident2";"AnzahlKurzIdent";"ErstesVereinZeichen";"Knüpf";"Laenge"
189;11336;"Ruderclub Kleinmachnow-Stahnsdorf-Teltow e.V.";"RCK";"Kleinmachn";;1;"R";"K";45
190;11610;"Frankfurter Rudergesellschaft ""Germania"" 1869";"FRGG";"Frankfurt";"german";2;"F";"K";45
191;11618;"Sport- und Kulturgemeinschaft Frankfurt (SKG)";"SKGF";"Frankfurt";"Kulturgemein";2;"S";"K";45
192;15822;"RV Zinfandel Landesbildungszentrum für Blinde";"RVZ";"Zinfand";;1;"R";"K";45
193;11607;"Frankfurter Rudergesellschaft 'Borussia' 1896";"FRGB";"Frankfurt";"boru";2;"F";"K";45
194;11832;"Ruderverein für das Große Freie Lehrte/Sehnde";"RGF";"freie";"Lehrte";2;"R";"K";45
195;11610;"Frankfurter Rudergesellschaft 'Germania' 1869";"FRGG";"Frankfurt";"german";2;"F";"K";45
196;11033;"Tübinger Ruderverein ""Fidelia"" 1877/1911 e.V.";"TRV";"Fidelia";;1;"T";"K";45
197;50010;"Schülerruderverband im Kölner Regatta-Verband";"SRVK";"köln";"schüler";2;"S";"K";45
198;11974;"Ruder- und Tennisgesellschaft Wesel 1907 e.V.";"RTGW";"Wesel";;1;"R";"K";45
199;60021;"TU Berlin - Zentraleinrichtung Hochschulsport";"TU Sport";"berlin";"tu";2;"T";"K";45
200;11029;"Stuttgart-Cannstatter Ruderclub von 1910 e.V.";"StCRC";"Cannst";;1;"S";"K";45
201;11011;"Heilbronner Rudergesellschaft ""Schwaben"" e.V.";"HRGS";"schwaben";"heil";2;"H";"K";45
202;60016;"Ruderriege der Humboldt-Universität zu Berlin";"HUniB";"berlin";"boldt-Uni";2;"R";"K";45
203;11133;"Erlanger Wanderrudergesellschaft Franken e.V.";"EWF";"Erlang";"Frank";2;"E";"K";45
204;11144;"Rudergemeinschaft Olympos Würzburg (ROW) e.V.";"ROW";"Würzb";"olymp";2;"R";"K";45
205;99140;"Eduard-Maurer-Oberstufenzentrum, Henningsdorf";;"Henningsd";"maurer";2;"E";"K";45
206;50012;"Schüler- und Jugendverband im Bayr. Rudervbd.";"SJVB";"bayr";"schüler";2;"S";"K";45
207;11239;"Eisenbahn-Sportverein Schmöckwitz Abt. Rudern";"ESVS";"Schmöckwitz";;1;"E";"K";45
208;11805;"Turn- und Sportverein Bramsche Ruderabteilung";"TSVB";"Bramsche";"turn";2;"T";"K";45
209;40028;"Regatta-Gemeinschaft RRK/ RRV Regensburg e.V.";"RGR";"Regensbu";"rega";2;"R";"K";45
210;11868;"Wilhelmshavener Schwimm- und Sportverein e.V.";"WSSV";"Wilhelmshaven";"schwimm";2;"W";"K";45
211;11523;"Akademische Ruderverbindung Alania zu Hamburg";"ARvbH";"Hamburg";"akademis";2;"A";"K";45
212;15935;"SRV Friedrich-Wilhelm-Gymnasium Köln von 1921";"SRV am FWG";"Wilhelm";"köln";2;"S";"K";45
213;12025;"Gymnasial-Turn-Ruder-Verein Neuwied 1882 e.V.";"GTRVN";"neuwied";"gymn";2;"G";"K";45
214;15606;"Ruderverein der Heinrich-Schütz-Schule Kassel";"RVHSS";"Schütz";;1;"R";"K";45
