ID_MSACCESS;Datum;Regatta;Jahr;Wasser-Ergo;Original-Reg-Text;Bermerkung;Saison;Oeffentlich;Zeitformat;Zwischenzeiten;MasterID;EnemyMine;use;2ter_Durchlauf;PDFForm;anlegeDatum
88;19.01.2025;HannoErg19Jan2025;2025;Erg;HannoErg19Jan2025;350/500/1000/1500/2000;24/25;1;;nein;ja;ja;;;;
89;15.01.2025;NeckElzErg15Jan2025;2025;Erg;NeckElzErg15Jan2025;350/5000/1000/1500/2000/30min;25;1;;nein;ja;ja;;;;
90;11.01.2025;RendsErg11Jan2025;2025;Erg;RendsErg11Jan2025;350/500/1000/1500/2000;24/25;1;;nein;ja;ja;;;;
91;25.01.2025;MitelDeu25Jan2025;2025;Erg;MittelDErg25Jan2025;350/500/1000/2000;24/25;1;;nein ja;ja;;;;;
92;03.02.2025;KettwigErgDM3Feb2025;2025;Erg;KettwigErgDM3Feb2025;;24/25;1;;ja;ja;;;;;
93;04.05.2025;UNDINE4Mai2025;2025;Rudern;94. Regatta der Offenbacher RG Undine 3./4. Mai 2025;1000;25;1;M:SS,Z;Nein;ja;;;;;
94;30.05.2025;HamburgJunior30Mai2025;2025;Rudern;2 DRV Junior Regatta Hamburg;1500/2000;25;1;MM:SS,ZH;ja;ja;;;;;
95;16.06.2025;KölnMErgebnis16Juni2025;2025;RudernME;KölnMErgebnis16Juni2025;1500/2000;25;1;;;ja;;;;;
96;29.06.2025;BWMü27Juni25;2025;Rudern;56 BW München27-29Juni2025;3000/1000;25;1;MM:SS.ZZ;Nein;ja;;;;;
97;05.07.2025;BürgelErg5Juli25;2025;Rudern;BürgelErg5Juli25;500;25;1;M:SS.Z;nein;ja;;;;;
98;05.07.2025;KrefeldMasterDM5Juli25;2025;Rudern;KrefeldMasterDM5Juli25;1000;25;1;0M:SS,Z;nein;ja;;;;;
99;05.07.2025;KrefeldGrosBootDM5Juli25;2025;Rudern;KrefeldGrosBootDM5Juli25;1000;25;1;0M:SS,Z;nein;ja;;;;;
100;22.06.2025;BledMaster22Juni25;2025;Rudern;BledMaster22Juni25;1000;25;1;M:SS.ZZ;nein;ja;;;;;
101;15.06.2025;ZschornLMER15Juni25;2025;Rudern;ZschornLandesMeisterschaftER15Juni25;1000;25;1;M:SS.ZZ;nein;ja;;;;;
102;08.06.2025;BerlinerER8Juni25;2025;Rudern;Berliner Sommer 8Juni25;;25;1;MM:SS.ZZ;Nein;ja;;;;;
103;08.06.2025;LMNRW_Witten8Juni25;2025;Rudern;LMNRW_Witten8Juni25;3000;25;1;MM:SS,ZZ;Nein;ja;;;;;
104;07.06.2025;LMNorden7Juni25;2025;Rudern;LMNorden7Juni25 SchlHol Meckpom Brememn Hamburg Niedersachsen;2500 / 1000;25;1;;nein;ja;;;;;
105;14.06.2025;LobenstErg15Juni25;2025;Rudern;LobenstErg15Juni25;1000/500/350;25;1;M:SS.ZZ;nein;ja;;;;;
106;08.08.2025;6. Stralsunder Coastal Regatta;2025;Coastel;6. Stralsunder Coastal Regatta;;25;1;;;;;;;;
107;27.07.2025;LMBWBreisach27Aug2025;2025;Rudern;LM BW Breisach;1000;25;1;;Nein;;;;;Stoeb;
108;27.07.2025;LMBayern20Jul25;2025;Rudern;LMBayern20Jul25;1000;25;1;2:58.68;Nein;ja;;;ja;Stoeb;
109;01.12.2025;DortmundLS2024;2024;LS;TESTETEST;6000;24/25;1;;ja;;;;;;
110;27.07.2025;MELMBreisach27Juli2025;2025;Rudern;MELMBreisach27Juli2025;1000;25;1;;nein;;;;;Stoeb;22.8.2025 00:00:00
111;10.08.2025;JWM_Trakai_25_JW8+;2025;Rudern;JWM_Trakai_25_JW8+;2000;25;1;MM:SS.ZZ;ja;;;;;FISA;24.8.2025 00:00:00
112;10.08.2025;JWM_Trakai_25_ALL;2025;Rudern;JWM_Trakai_25_ALL;2000;25;1;MM:SS.ZZ;ja;;;;ja;FISA;25.8.2025 00:00:00
113;07.09.2025;Leer7Sep2025;2025;Rudern;Leer7Sep2025;1000/300/Slalom;25;1;M;SS,Z;Nein;;;;;Leer;10.9.2025 00:00:00
114;28.09.2025;WM_Shanghai25;2025;Rudern;WM_Shanghai25;2000;25;1;MM:SS.ZZ;ja;;;;;FISA;12.9.2025 00:00:00
115;10.08.2025;AthBotRace_JWM_Trakai_25_ALL;2025;Rudern;AthBotRace_JWM_Trakai_25_ALL;Races Athletes Boot Coach;25;1;MM:SS.ZZ;ja;;;;;FISA;13.9.2025 00:00:00
117;28.09.2025;AthBotRace_WM_Shanghai25;2025;Rudern;AthBotRace_WM_Shanghai25;Races Athletes Boot Coach;25;1;MM:SS.ZZ;ja;;;;;FISA;13.9.2025 00:00:00
118;14.09.2025;Schierstein14Sep2025;2025;Rudern;Schierstein14Sep2025;500;25;1;MM:SS.ZZ;Nein;;;;;;15.9.2025 00:00:00
123;27.04.2025;Schoko43_27Apr2025;2025;Rudern;Schoko43_27Apr2025;100/1500/3000;25;1;MM:SS.ZZ;nein;;;;ja;;28.10.2025 00:00:00
124;;;0;;;;;1;;;;;;;;30.12.1899 08:34:05
125;;;0;;;;;1;;;;;;;;27.11.2025 08:34:50
