"MasterID";"ErgZeiOrig";"WorldTyp";"Regatta";"WoFISARegat";"WBJahr";"WBZeitopen";"WBZeitZehntopen";"LandderMannschaft";"WBMannschaft";"RennTyp";"RenntypTrefferID";"U19U23openPR";"WorldBestU1923";"WorldBestU1923Zehntel";"WorldopenMasterID"
203393;"World Best: CRO SINKOVIC Martin / SINKOVIC Valent Amsterdam (NED) 2014 World Championships 5:59.72";"WorldBest";"JWM_Trakai_25_ALL";"Amsterdam (NED) 2014 World Championships";"2014";"5:59.72";"35972";"CRO";"SINKOVIC Martin / SINKOVIC Valent";"JM 2x";80;"open";;0;0
203394;"U19 World Champ' Best: GRE GKAIDATZIS Petros / SCHIZODIMOS Grigorios Racice (CZE) 2018 World Championships 6:18.19";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:59.72";"35972";"GRE";"GKAIDATZIS Petros / SCHIZODIMOS Grigorios";"JM 2x";80;"U19";"6:18.19";37819;203393
203395;"World Champion: GRE GIANNOULIS Konstantinos / CHOLOPOULOS Nikolaos St. Catharines (CAN) 2024 World Championships 6:50.18";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"GIANNOULIS Konstantinos / CHOLOPOULOS Nikolaos";"JM 2x";80;;;0;0
203424;"World Best: CRO SINKOVIC Martin / SINKOVIC Valent Amsterdam (NED) 2014 World Championships 5:59.72";"WorldBest";"JWM_Trakai_25_ALL";"Amsterdam (NED) 2014 World Championships";"2014";"5:59.72";"35972";"CRO";"SINKOVIC Martin / SINKOVIC Valent";"JM 2x";80;"open";;0;0
203425;"U19 World Champ' Best: GRE GKAIDATZIS Petros / SCHIZODIMOS Grigorios Racice (CZE) 2018 World Championships 6:18.19";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:59.72";"35972";"GRE";"GKAIDATZIS Petros / SCHIZODIMOS Grigorios";"JM 2x";80;"U19";"6:18.19";37819;203424
203426;"World Champion: GRE GIANNOULIS Konstantinos / CHOLOPOULOS Nikolaos St. Catharines (CAN) 2024 World Championships 6:50.18";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"GIANNOULIS Konstantinos / CHOLOPOULOS Nikolaos";"JM 2x";80;;;0;0
203456;"World Best: CRO SINKOVIC Martin / SINKOVIC Valent Amsterdam (NED) 2014 World Championships 5:59.72";"WorldBest";"JWM_Trakai_25_ALL";"Amsterdam (NED) 2014 World Championships";"2014";"5:59.72";"35972";"CRO";"SINKOVIC Martin / SINKOVIC Valent";"JM 2x";80;"open";;0;0
203457;"U19 World Champ' Best: GRE GKAIDATZIS Petros / SCHIZODIMOS Grigorios Racice (CZE) 2018 World Championships 6:18.19";"U19WorldBest";"JWM_Trakai_25_ALL";"Racice (CZE) 2018 World Championships";"2018";"5:59.72";"35972";"GRE";"GKAIDATZIS Petros / SCHIZODIMOS Grigorios";"JM 2x";80;"U19";"6:18.19";37819;203456
203458;"World Champion: GRE GIANNOULIS Konstantinos / CHOLOPOULOS Nikolaos St. Catharines (CAN) 2024 World Championships 6:50.18";"WorldChampion";"JWM_Trakai_25_ALL";"St. Catharines (CAN) 2024 World Championships";"2024";;;"GRE";"GIANNOULIS Konstantinos / CHOLOPOULOS Nikolaos";"JM 2x";80;;;0;0
203488;"World Best: CRO SINKOVIC Martin / SINKOVIC Valent Amsterdam (NED) 2014 World Championships 5:59.72";"WorldBest";"JWM_Trakai_25_ALL";"Amsterdam (NED) 2014 World Championships";"2014";"5:59.72";"35972";"CRO";"SINKOVIC Martin / SINKOVIC Valent";"JM 2x";80;"open";;0;0
