"IDEssenz";"IDEssenzFISA";"MinvonIDIntern";"MinvonErgZei";"RenTypNeu";"RenTypNeuBootBemerkung";"Boot_Erg_Coast";"AltersKlasse";"AltersGruppe_JSKMP";"BootTyp";"AlterDetail";"Bemerkung";"LG";"aus RWID";"LK";"DrvRelationDatum";"Rel100ProzZeit";"FahrzeitZehntel";"Schnitt500mZehnt";"Schnitt500Zeit";"ConceptHwtLwt";"ConceptTypAlter";"ConceptTypAlterslash";"MW";"GeschlechtMF";"Knüpf";"RudererAnzahl"
549;;988;"Männer 1x";"SM 1x";"SM 1x";"Boot";"SM";"S";"1x";;;;;;;;;;;;;;"M";"M";;1
550;73;722;"Männer-Einer A";"SM 1x A";"SM 1x A";"Boot";"SM";"S";"1x";"A";;;20;;1.1.2020 00:00:00;"06:31.3";39130;9782;"1:37,82";"Hwt";"19-29";"19/29";"M";"M";;1
551;93;553;"Lgw.Männer-Einer A";"SM 1x A LG";"SM 1x A LG";"Boot";"SM";"S";"1x";"A";;"LG";18;;1.1.2020 00:00:00;"06:40.0";40000;10000;"1:40,00";"Lwt";"19-29";"19/29";"M";"M";;1
552;;1059;"SM 1x A/B";"SM 1x A/B";"SM 1x A/B";"Boot";"SM";"S";"1x";"A/B";;;408;;1.1.2020 00:00:00;"06:31.3";39130;9782;"1:37,82";"Hwt";"19-29";"19/29";"M";"M";;1
553;;1053;"SM 1x 19-29 Jahre";"SM 1x A/B";"SM 1x A/B";"Boot";"SM";"S";"1x";"A/B";"";;408;;;;;;;;;;"M";"M";;1
554;;1061;"SM 1x A/B LG";"SM 1x A/B LG";"SM 1x A/B LG";"Boot";"SM";"S";"1x";"A/B";;"LG";342;;;;;;;;;;"M";"M";;1
555;;1054;"SM 1x 19-29 Jahre LG";"SM 1x A/B LG";"SM 1x A/B LG";"Boot";"SM";"S";"1x";"A/B";"";"LG";342;;1.1.2020 00:00:00;"06:40.0";40000;10000;"1:40,00";"Lwt";"19-29";"19/29";"M";"M";;1
556;37;1062;"SM 1x B";"SM 1x B";"SM 1x B";"Boot";"SM";"S";"1x";"B";;;145;;1.1.2020 00:00:00;"06:31.3";39130;9782;"1:37,82";"Hwt";"19-29";"19/29";"M";"M";;1
557;51;1063;"SM 1x B I/II LG";"SM 1x B LG";"SM 1x B LG";"Boot";"SM";"S";"1x";"B";;"LG";151;;1.1.2020 00:00:00;"06:40.0";40000;10000;"1:40,00";"Lwt";"19-29";"19/29";"M";"M";;1
558;;989;"Männer 1x LG";"SM 1x LG";"SM 1x LG";"Boot";"SM";"S";"1x";;;"LG";;;;;;;;;;;"M";"M";;1
559;;1067;"SM 1x+ Gig A";"SM 1x+ A";"SM 1x+ A Gig";"Boot";"SM";"S";"1x+";"A";"Gig";;;;;;;;;;;;"M";"M";;2
560;;1068;"SM 2-";"SM 2-";"SM 2-";"Boot";"SM";"S";"2-";;;;;;;;;;;;;;"M";"M";;2
561;74;732;"Männer-Zweier o.St. A";"SM 2- A";"SM 2- A";"Boot";"SM";"S";"2-";"A";;;23;;1.1.2020 00:00:00;"06:09.4";36940;9235;"1:32,35";"Hwt";"19-29";"19/29";"M";"M";;2
562;112;1071;"SM 2- A LG";"SM 2- A LG";"SM 2- A LG";"Boot";"SM";"S";"2-";"A";;"LG";340;;1.1.2020 00:00:00;"06:22.0";38200;9550;"1:35,50";"Lwt";"19-29";"19/29";"M";"M";;2
563;;1051;"SM 2- A/B";"SM 2- A/B";"SM 2- A/B";"Boot";"SM";"S";"2-";"A/B";;;339;;1.1.2020 00:00:00;"06:09.4";36940;9235;"1:32,35";"Hwt";"19-29";"19/29";"M";"M";;2
564;;1073;"SM 2- A/B LG";"SM 2- A/B LG";"SM 2- A/B LG";"Boot";"SM";"S";"2-";"A/B";;"LG";;;;;;;;;;;"M";"M";;2
565;38;1074;"SM 2- B";"SM 2- B";"SM 2- B";"Boot";"SM";"S";"2-";"B";;;270;;1.1.2020 00:00:00;"06:09.4";36940;9235;"1:32,35";"Hwt";"19-29";"19/29";"M";"M";;2
566;;1075;"SM 2- B LG";"SM 2- B LG";"SM 2- B LG";"Boot";"SM";"S";"2-";"B";;"LG";269;;1.1.2020 00:00:00;"06:20.0";38000;9500;"1:35,00";"Lwt";"19-29";"19/29";"M";"M";;2
567;;1076;"SM 2- LG";"SM 2- LG";"SM 2- LG";"Boot";"SM";"S";"2-";;;"LG";;;;;;;;;;;"M";"M";;2
568;75;721;"Männer-Doppelzweier A";"SM 2x A";"SM 2x A";"Boot";"SM";"S";"2x";"A";;;27;;1.1.2020 00:00:00;"06:00.3";36030;9008;"1:30,08";"Hwt";"19-29";"19/29";"M";"M";;2
569;94;1079;"SM 2x A LG";"SM 2x A LG";"SM 2x A LG";"Boot";"SM";"S";"2x";"A";;"LG";25;;1.1.2020 00:00:00;"06:05.2";36520;9130;"1:31,30";"Lwt";"19-29";"19/29";"M";"M";;2
570;;1080;"SM 2x A/B";"SM 2x A/B";"SM 2x A/B";"Boot";"SM";"S";"2x";"A/B";;;136;;1.1.2020 00:00:00;"06:00.3";36030;9008;"1:30,08";"Hwt";"19-29";"19/29";"M";"M";;2
571;27;1081;"SM 2x B";"SM 2x B";"SM 2x B";"Boot";"SM";"S";"2x";"B";;;153;;1.1.2020 00:00:00;"06:00.3";36030;9008;"1:30,08";"Hwt";"19-29";"19/29";"M";"M";;2
572;59;1082;"SM 2x B LG";"SM 2x B LG";"SM 2x B LG";"Boot";"SM";"S";"2x";"B";;"LG";268;;1.1.2020 00:00:00;"06:05.2";36520;9130;"1:31,30";"Lwt";"19-29";"19/29";"M";"M";;2
573;;1083;"SM 2x+ Gig A";"SM 2x+ A";"SM 2x+ A Gig";"Boot";"SM";"S";"2x+";"A";"Gig";;;;;;;;;;;;"M";"M";;3
574;;1084;"SM 4-";"SM 4-";"SM 4-";"Boot";"SM";"S";"4-";;;;;;;;;;;;;;"M";"M";;4
575;;710;"Männer Vierer Sprint";"SM 4-";"SM 4- Sprint";"Boot";"SM";"S";"4-";;"Sprint";;;;;;;;;;;;"M";"M";;4
576;76;731;"Männer-Vierer o.St. A";"SM 4- A";"SM 4- A";"Boot";"SM";"S";"4-";"A";;;30;;1.1.2020 00:00:00;"05:38.1";33810;8452;"1:24,52";"Hwt";"19-29";"19/29";"M";"M";;4
577;;1086;"SM 4- A LG";"SM 4- A LG";"SM 4- A LG";"Boot";"SM";"S";"4-";"A";;"LG";28;;1.1.2020 00:00:00;"05:43.1";34310;8578;"1:25,78";"Lwt";"19-29";"19/29";"M";"M";;4
578;;1087;"SM 4- A/B";"SM 4- A/B";"SM 4- A/B";"Boot";"SM";"S";"4-";"A/B";;;412;;1.1.2020 00:00:00;"05:38.1";33810;8452;"1:24,52";"Hwt";"19-29";"19/29";"M";"M";;4
579;28;1089;"SM 4- B";"SM 4- B";"SM 4- B";"Boot";"SM";"S";"4-";"B";;;267;;1.1.2020 00:00:00;"05:38.1";33810;8452;"1:24,52";"Hwt";"19-29";"19/29";"M";"M";;4
580;;1090;"SM 4- B LG";"SM 4- B LG";"SM 4- B LG";"Boot";"SM";"S";"4-";"B";;"LG";266;;1.1.2020 00:00:00;"05:43.1";34310;8578;"1:25,78";"Lwt";"19-29";"19/29";"M";"M";;4
581;;1091;"SM 4+ B";"SM 4+ B";"SM 4+ B";"Boot";"SM";"S";"4+";"B";;;265;;1.1.2020 00:00:00;"05:49.0";34900;8725;"1:27,25";"Hwt";"19-29";"19/29";"M";"M";;5
582;77;718;"Männer-Doppelvierer A";"SM 4x A";"SM 4x A";"Boot";"SM";"S";"4x";"A";;;426;;1.1.2020 00:00:00;"05:32.0";33200;8300;"1:23,00";"Hwt";"19-29";"19/29";"M";"M";;4
583;42;1094;"SM 8+ B";"SM 8+ B";"SM 8+ B";"Boot";"SM";"S";"8+";"B";;;260;;;;;;;;;;"M";"M";;9
584;41;1096;"SM 4x B";"SM 4x B";"SM 4x B";"Boot";"SM";"S";"4x";"B";;;263;;1.1.2020 00:00:00;"05:32.0";33200;8300;"1:23,00";"Hwt";"19-29";"19/29";"M";"M";;4
585;;1097;"SM 4x B LG";"SM 4x B LG";"SM 4x B LG";"Boot";"SM";"S";"4x";"B";;"LG";264;;1.1.2020 00:00:00;"05:43.3";34330;8582;"1:25,82";"Lwt";"19-29";"19/29";"M";"M";;4
586;;1098;"SM 4x+";"SM 4x+";"SM 4x+";"Boot";"SM";"S";"4x+";;;;;;;;;;;;;;"M";"M";;5
587;;1099;"SM 4x+ A";"SM 4x+ A";"SM 4x+ A";"Boot";"SM";"S";"4x+";"A";;;427;;1.1.2020 00:00:00;"05:32.0";33200;8300;"1:23,00";"Hwt";"19-29";"19/29";"M";"M";;5
588;;712;"Männer-Achter";"SM 8+";"SM 8+";"Boot";"SM";"S";"8+";;;;;;;;;;;;;;"M";"M";;9
589;;716;"Männer-Achter RB";"SM 8+";"SM 8+ RBL";"Boot";"SM";"S";"8+";;"RBL";;;;;;;;;;;;"M";"M";;9
590;;714;"Männer-Achter A";"SM 8+ A";"SM 8+ A";"Boot";"SM";"S";"8+";"A";;;38;;1.1.2020 00:00:00;"05:19.4";31940;7985;"1:19,85";"Hwt";"19-29";"19/29";"M";"M";;9
591;;1105;"SM 8+ A/B";"SM 8+ A/B";"SM 8+ A/B";"Boot";"SM";"S";"8+";"A/B";;;416;;1.1.2020 00:00:00;"05:19.4";31940;7985;"1:19,85";"Hwt";"19-29";"19/29";"M";"M";;9
593;;1107;"SM 8+ B LG";"SM 8+ B LG";"SM 8+ B LG";"Boot";"SM";"S";"8+";"B";;"LG";259;;1.1.2020 00:00:00;"05:30.1";33010;8252;"1:22,52";"Lwt";"19-29";"19/29";"M";"M";;9
594;78;1108;"SM 8x A";"SM 8x A";"SM 8x A";"Boot";"SM";"S";"8x";"A";;;;;;;;;;;;;"M";"M";;9
595;;709;"Männer Ü 19";"SM A";"SM A";"Ergo";"SM";"S";;"A";;;;;;;;;;;;;"M";"M";;
596;;1100;"SM 8 A";"SM A";"SM A 8";"Ergo";"SM";"S";;"A";"8";;;;;;;;;;;;"M";"M";;
597;;1113;"SM A LG";"SM A LG";"SM A LG";"Ergo";"SM";"S";;"A";;"LG";;;;;;;;;;;"M";"M";;
598;;1115;"SM A/B";"SM A/B";"SM A/B";"Ergo";"SM";"S";;"A/B";;;;;;;;;;;;;"M";"M";;
599;;686;"Männer 19-29 Jahre";"SM A/B";"SM A/B";"Ergo";"SM";"S";;"A/B";"";;;;;;;;;;;;"M";"M";;
600;;1118;"SM A/B 
Lgw";"SM A/B LG";"SM A/B LG";"Ergo";"SM";"S";;"A/B";;"LG";;;;;;;;;;;"M";"M";;
601;;551;"Lgw.Männer 19-29 Jahre";"SM A/B LG";"SM A/B LG";"Ergo";"SM";"S";;"A/B";"";"LG";;;;;;;;;;;"M";"M";;
602;;1140;"SON 4";"SM/F";"SM/F 4 SON";"Ergo";"SM/F";"Besonder";;;"4 SON";;;;;;;;;;;;;;;
603;;1295;"FUN- Race";"SM/F";"SM/F FUN Race";"Ergo";"SM/F";"Besonder";;;"FUN Race";;;;;;;;;;;;;;;
604;;492;"Lehrer + Betreuer";"SM/F";"SM/F Lehrer + Betreuer";"Ergo";"SM/F";"Besonder";;;"Lehrer + Betreuer";;;;;;;;;;;;;;;
605;;494;"Lehrerinnen";"SM/F";"SM/F Lehrerinnen";"Ergo";"SM/F";"Besonder";;;"Lehrerinnen";;;;;;;;;;;;;;;
606;;1132;"SON";"SM/F";"SM/F SON";"Ergo";"SM/F";"Besonder";;;"SON";;;;;;;;;;;;;;;
607;;990;"Senioren M/F";"SM/F";"SM/F";"Ergo";"SM/F";"S";;;;;;;;;;;;;;;;;;
608;;1133;"SON 1x";"SM/F 1x";"SM/F 1x SON";"Boot";"SM/F";"Besonder";"1x";;"SON";;;;;;;;;;;;;;;1
609;;1187;"Familien-Zweier";"SM/F 2-";"SM/F 2- Familien";"Boot";"SM/F";"Besonder";"2-";;"Familien";;;;;;;;;;;;;;;2
610;;1137;"SON 2x";"SM/F 2x";"SM/F 2x SON";"Boot";"SM/F";"Besonder";"2x";;"SON";;;;;;;;;;;;;;;2
611;;1138;"SON 2x Inklusion";"SM/F 2x";"SM/F 2x SON Inklusion";"Boot";"SM/F";"Besonder";"2x";;"SON Inklusion";;;;;;;;;;;;;;;2
612;;750;"Mixed-Doppelzweier";"SM/F 2x";"SM/F 2x";"Boot";"SM/F";"S";"2x";;;;;;;;;;;;;;;;;2
613;;752;"Mixed-Doppelzweier ADH";"SM/F 2x";"SM/F 2x ADH";"Boot";"SM/F";"S";"2x";;"ADH";;;;;;;;;;;;;;;2
614;;751;"Mixed-Doppelzweier A";"SM/F 2x A";"SM/F 2x A";"Boot";"SM/F";"S";"2x";"A";;;355;;;;;;;;;;;;;2
615;;1120;"SM/F 2x A Mix";"SM/F 2x A";"SM/F 2x A mix";"Boot";"SM/F";"S";"2x";"A";"mix";;355;;1.1.2020 00:00:00;"06:00.3";36030;9008;"1:30,08";"Hwt";"19-29";"19/29";"Mix";"M";;2
616;;1048;"SF/M 2x A/B";"SM/F 2x A/B";"SM/F 2x A/B";"Boot";"SM/F";"S";"2x";"A/B";;;148;;1.1.2020 00:00:00;"06:00.3";36030;9008;"1:30,08";"Hwt";"19-29";"19/29";"Mix";"M";;2
617;;1139;"SON 2x+ Gig";"SM/F 2x+";"SM/F 2x+ SON Gig";"Boot";"SM/F";"Besonder";"2x+";;"SON Gig";;;;;;;;;;;;;;;3
618;;1183;"FUN-Fittness Vierer";"SM/F 4-";"SM/F 4- FUN-Fittness";"Boot";"SM/F";"Besonder";"4-";;"FUN-Fittness";;;;;;;;;;;;;;;4
619;;1185;"SF/ SM 4-";"SM/F 4-";"SM/F 4-";"Boot";"SM/F";"S";"4-";;;;;;;;;;;;;;;;;4
620;;1154;"Vereins-Mixed-Vierer";"SM/F 4-";"SM/F 4- Verein";"Boot";"SM/F";"S";"4-";;"Verein";;;;;;;;;;;;;;;4
621;;1152;"Verein-Mixed-Vierer (Erw.)";"SM/F 4-";"SM/F 4- Verein (Erw.)";"Boot";"SM/F";"S";"4-";;"Verein (Erw.)";;;;;;;;;;;;;;;4
622;;1143;"Son 4x";"SM/F 4x-";"SM/F 4x- SON";"Boot";"SM/F";"Besonder";"4x-";;"SON";;;;;;;;;;;;;;;4
